"Main","weekday","sumtotal"
" EGLINTON AVE E ",3,235490
" EGLINTON AVE E ",4,236118
" EGLINTON AVE E ",5,13125
" EGLINTON AVE E ",6,80827
" EGLINTON AVE W ",1,423675
" EGLINTON AVE W ",2,148309
" EGLINTON AVE W ",3,84031
" EGLINTON AVE W ",4,167705
" EGLINTON AVE W ",6,79827
" ELLESMERE RD ",1,94266
" ELLESMERE RD ",2,93567
" ELLESMERE RD ",3,55977
" ELLESMERE RD ",4,23184
" ELLESMERE RD ",6,99152
" ESTHER SHINER BLVD ",1,8059
" EVANS AVE ",1,12094
" EVANS AVE ",2,24251
" EVANS AVE ",3,25011
" EVANS AVE ",4,28136
" EVANS AVE ",6,13968
" FAIRVIEW MALL DR ",1,4893
" FAIRVIEW MALL DR ",3,28841
" FENMAR DR ",1,9022
" FINCH AVE E ",1,92760
" FINCH AVE E ",2,298896
" FINCH AVE E ",3,148920
" FINCH AVE E ",4,74220
" FINCH AVE E ",6,132173
" FINCH AVE W ",1,144423
" FINCH AVE W ",2,255587
" FINCH AVE W ",3,214554
" FINCH AVE W ",4,141965
" FINCH AVE W ",5,27468
" FINCH AVE W ",6,15923
" FORT YORK BLVD ",3,7924
" FRONT ST E ",2,13530
" FRONT ST E ",3,12337
" FRONT ST E ",4,12244
" FRONT ST W ",1,30998
" FRONT ST W ",2,42641
" FRONT ST W ",3,32878
" GARDINER E PARK LAWN RD RAMP ",2,7957
" GATEWAY BLVD ",1,7117
" GATEWAY BLVD ",2,8763
" GERRARD ST E ",1,44900
" GERRARD ST E ",2,60099
" GERRARD ST E ",3,78226
" GERRARD ST E ",4,46880
" GERRARD ST W ",3,17359
" GRANTBROOK ST ",3,4523
" GREENWOOD AVE ",1,11060
" GREENWOOD AVE ",2,8841
" GUILDWOOD PKWY ",4,7989
" GUNNS RD ",3,4416
" HALLAM ST ",4,8325
" HARBORD ST ",2,22734
" HARBORD ST ",3,32856
" HARBORD ST ",4,29463
" HARBOUR ST ",2,15905
" HIGHWAY 27 ",2,75773
" HIGHWAY 27 ",3,50335
" HIGHWAY 27 ",4,45489
" HIGHWAY 27 ",6,24150
" HORNER AVE ",2,8924
" HORNER AVE ",3,6876
" HOSKIN AVE ",1,9719
" HUMBER COLLEGE BLVD ",1,7671
" HUMBER COLLEGE BLVD ",2,10936
" HUMBER COLLEGE BLVD ",3,10137
" HUMBERWOOD BLVD ",1,8264
" HUNTINGWOOD DR ",1,8440
" IAN MACDONALD BLVD ",3,13137
" INGRAM DR ",4,7307
" ISLINGTON AVE ",1,37973
" ISLINGTON AVE ",2,148225
" ISLINGTON AVE ",3,146816
" ISLINGTON AVE ",4,131105
" ISLINGTON AVE ",6,83981
" JANE ST ",1,130174
" JANE ST ",2,225225
" JANE ST ",3,88827
" JANE ST ",4,225707
" JANE ST ",6,24401
" JARVIS ST ",2,190108
" JARVIS ST ",3,29197
" JARVIS ST ",4,14859
" JARVIS ST ",6,38242
" KEELE ST ",1,65220
" KEELE ST ",2,338712
" KEELE ST ",3,68387
" KEELE ST ",4,145810
" KEELE ST ",6,10284
" KENNEDY RD ",1,60588
" KENNEDY RD ",2,137252
" KENNEDY RD ",3,66139
" KENNEDY RD ",4,229748
" KENNEDY RD ",6,91692
" KING ST E ",1,7221
" KING ST E ",2,61080
" KING ST E ",3,27642
" KING ST E ",4,5363
" KING ST E ",6,20293
" KING ST W ",1,12136
" KING ST W ",3,213932
" KING ST W ",4,74977
" KING ST W ",6,42592
" KINGSTON RD ",1,110352
" KINGSTON RD ",2,80346
" KINGSTON RD ",3,306879
" KINGSTON RD ",4,219323
" KINGSTON RD ",6,158768
" KIPLING AVE ",1,51306
" KIPLING AVE ",2,242536
" KIPLING AVE ",3,112231
" KIPLING AVE ",4,94229
" KIPLING AVE ",5,24084
" KIPLING AVE ",6,17953
" LAIRD DR ",4,27272
" LAIRD DR ",6,39086
" LAKE SHORE BLVD E ",1,100944
" LAKE SHORE BLVD E ",2,11863
" LAKE SHORE BLVD E ",3,44416
" LAKE SHORE BLVD E ",4,30651
" LAKE SHORE BLVD E ",6,24630
" LAKE SHORE BLVD W ",1,76855
" LAKE SHORE BLVD W ",2,201348
" LAKE SHORE BLVD W ",3,243879
" LAKE SHORE BLVD W ",4,197546
" LAKE SHORE BLVD W ",5,12247
" LAKE SHORE BLVD W ",6,115339
" LANSDOWNE AVE ",1,12476
" LANSDOWNE AVE ",4,7372
" LANSDOWNE AVE ",6,21008
" LAWRENCE AVE E ",1,264086
" LAWRENCE AVE E ",2,276350
" LAWRENCE AVE E ",3,172831
" LAWRENCE AVE E ",4,153911
" LAWRENCE AVE E ",6,90203
" LAWRENCE AVE W ",1,140127
" LAWRENCE AVE W ",2,80613
" LAWRENCE AVE W ",3,122181
" LAWRENCE AVE W ",4,134046
" LAWRENCE AVE W ",5,28771
" LAWRENCE AVE W ",6,13721
" LEBOVIC AVE ",4,5276
" LESLIE ST ",1,96791
" LESLIE ST ",2,71924
" LESLIE ST ",3,125124
" LESLIE ST ",4,61904
" LESLIE ST ",5,12424
" LESLIE ST ",6,93220
" LOWER JARVIS ST ",2,17635
" LOWER SHERBOURNE ST ",3,9655
" LOWER SIMCOE ST ",1,7826
" LUMSDEN AVE ",2,5969
" LUMSDEN AVE ",3,5832
" LUMSDEN AVE ",4,9475
" MAIN ST ",6,22748
" MARKHAM RD ",1,17006
" MARKHAM RD ",2,134262
" MARKHAM RD ",3,146536
" MARKHAM RD ",4,8186
" MARKHAM RD ",6,220204
" MARLEE AVE ",1,14229
" MARLEE AVE ",2,26946
" MARTIN GROVE RD ",1,61573
" MARTIN GROVE RD ",2,156373
" MARTIN GROVE RD ",3,11472
" MARTIN GROVE RD ",4,28598
" MARTIN GROVE RD ",6,23101
" MCCOWAN RD ",1,128283
" MCCOWAN RD ",2,6698
" MCCOWAN RD ",3,108918
" MCCOWAN RD ",4,76995
" MCCOWAN RD ",6,150300
" MCLEVIN AVE ",1,11486
" MCLEVIN AVE ",3,6237
" MCLEVIN AVE ",4,12022
" MCNICOLL AVE ",1,9766
" MCNICOLL AVE ",2,19624
" MCNICOLL AVE ",3,23146
" MCNICOLL AVE ",4,51588
" MEADOWVALE RD ",0,7809
" MEADOWVALE RD ",2,6129
" MEADOWVALE RD ",3,9618
" MEADOWVALE RD ",4,8471
" MIDDLEFIELD RD ",3,28921
" MIDDLEFIELD RD ",4,8673
" MIDLAND AVE ",1,16723
" MIDLAND AVE ",2,48508
" MIDLAND AVE ",3,152953
" MIDLAND AVE ",6,55127
" MILITARY TRL ",3,9365
" MILLWICK DR ",2,13487
" MILLWOOD RD ",2,5787
" MILLWOOD RD ",4,24589
" MILLWOOD RD ",6,23982
" MILNER AVE ",1,6126
" MILNER AVE ",2,25470
" MILNER AVE ",3,7569
" MORNINGSIDE AVE ",1,60034
" MORNINGSIDE AVE ",2,8313
" MORNINGSIDE AVE ",3,140634
" MORNINGSIDE AVE ",6,28107
" MORTIMER AVE ",1,5963
" MORTIMER AVE ",3,8528
" MORTIMER AVE ",6,17880
" MOUNT PLEASANT RD ",1,132987
" MOUNT PLEASANT RD ",2,122593
" MOUNT PLEASANT RD ",3,15238
" MOUNT PLEASANT RD ",4,29289
" MOUNT PLEASANT RD ",6,31177
" MURRAY ROSS PKWY ",1,3941
" NEILSON RD ",2,16583
" NEILSON RD ",3,20592
" NEILSON RD ",4,64562
" NEILSON RD ",6,51458
" NORTH QUEEN ST ",1,11349
" NORTH QUEEN ST ",2,10172
" NORTH QUEEN ST ",4,11385
" O CONNOR DR ",1,68979
" O CONNOR DR ",2,55036
" O CONNOR DR ",3,77871
" O CONNOR DR ",4,25310
" O CONNOR DR ",6,77477
" OAK ST ",3,11027
" OAKDALE RD ",2,7787
" OAKWOOD AVE ",2,14757
" OAKWOOD AVE ",3,9481
" OAKWOOD AVE ",4,13287
" OLD FINCH AVE ",4,1081
" OLD KINGSTON RD ",1,5017
" OLD KINGSTON RD ",3,6155
" OLD WESTON RD ",2,7918
" OLD WESTON RD ",4,18623
" ORIOLE PKWY ",1,15271
" ORIOLE PKWY ",3,38568
" ORTON PARK RD ",4,3615
" OSSINGTON AVE ",2,12903
" OSSINGTON AVE ",4,28789
" OVERLEA BLVD ",3,36711
" OVERLEA BLVD ",4,26746
" PAPE AVE ",4,10647
" PAPE AVE ",6,20667
" PARK HOME AVE ",1,24062
" PARK LAWN RD ",2,14100
" PARK LAWN RD ",4,41564
" PARKSIDE DR ",1,14076
" PARKSIDE DR ",3,30555
" PARKSIDE DR ",6,13415
" PARKWOODS VILLAGE DR ",2,23215
" PARLIAMENT ST ",2,28490
" PARLIAMENT ST ",3,24765
" PARLIAMENT ST ",4,18542
" PARLIAMENT ST ",6,33163
" PASSMORE AVE ",6,8202
" PHARMACY AVE ",1,49341
" PHARMACY AVE ",2,92983
" PHARMACY AVE ",3,33422
" PHARMACY AVE ",4,114649
" PHARMACY AVE ",6,42245
" PORT UNION RD ",1,14275
" PORT UNION RD ",2,12224
" PORT UNION RD ",4,16261
" POYNTZ AVE ",2,6514
" PRINCES BLVD ",2,1518
" PROGRESS AVE ",1,49663
" PROGRESS AVE ",2,31833
" PROGRESS AVE ",3,26693
" PROGRESS AVE ",4,26043
" QUEEN ST E ",1,46671
" QUEEN ST E ",2,95130
" QUEEN ST E ",3,72199
" QUEEN ST E ",4,48027
" QUEEN ST E ",6,65562
" QUEEN ST W ",1,10992
" QUEEN ST W ",2,58971
" QUEEN ST W ",3,149580
" QUEEN ST W ",4,56044
" QUEEN ST W ",6,21094
" QUEENS PARK ",4,22654
" QUEENS PARK CRES E ",2,13644
" QUEENS PARK CRES E ",3,51441
" QUEENS PARK CRES W ",2,17479
" QUEENS PLATE DR ",4,6407
" QUEENS QUAY E ",1,8464
" QUEENS QUAY E ",3,6859
" QUEENS QUAY W ",2,18156
" QUEENS QUAY W ",3,53710
" QUEENS QUAY W ",4,20595
" RANEE AVE ",1,5002
" RANEE AVE ",3,5900
" RATHBURN RD ",1,14541
" RATHBURN RD ",3,12329
" RENFORTH DR ",2,10695
" RENFORTH DR ",3,18498
" RENFORTH DR ",4,77871
" REXDALE BLVD ",3,20262
" REXDALE BLVD ",4,92089
" REXDALE BLVD ",5,33699
" REXDALE BLVD ",6,21826
" RICHMOND ST E ",1,16387
" RICHMOND ST E ",2,25545
" RICHMOND ST W ",1,5992
" RICHMOND ST W ",2,51666
" RICHMOND ST W ",3,14248
" RIVER ST ",1,7494
" ROGERS RD ",1,19955
" ROGERS RD ",2,17979
